budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
100,complete_rollout,300,2.9004495240611617e-05,7.58815956454798e-07,0.21751591583650523
100,learned_mean,300,0.00011515528993225022,9.525352123653116e-06,0.8635940100057231
100,learned_occupancy,300,4.476994099197382e-05,1.3758048413335915e-06,0.3357470845822633
100,occ_plus_mean,300,4.152317065927863e-05,1.2703002909223322e-06,0.3113982994519451
100,occ_plus_uniform,300,4.7134192643303836e-05,1.3492610779714654e-06,0.3534775211556589
100,oracle_tail,300,1.742230176901478e-05,4.989172328399847e-07,0.1306565721564787
100,tis,300,0.00015726334874355453,1.0502158930554927e-05,1.1793786116840779
100,tis_anchored,300,4.361444032354124e-05,1.3522136420492646e-06,0.3270815386364099
100,uniform,300,0.00013334424347325786,3.876321052843136e-06,1.0
200,complete_rollout,300,1.5592620897213952e-05,4.1873947049666887e-07,0.21328075741420904
200,learned_mean,300,3.685861368576092e-05,1.418269339387978e-06,0.504163674340434
200,learned_occupancy,300,1.892992335197858e-05,5.597652200100437e-07,0.25892942674084407
200,occ_plus_mean,300,1.573165588964685e-05,4.4739334939480874e-07,0.21518252163259427
200,occ_plus_uniform,300,2.2059854508284098e-05,6.033687009633634e-07,0.30174160642966397
200,oracle_tail,300,8.307771718496315e-06,2.414338869176536e-07,0.113636306316011
200,tis,300,5.219996195157062e-05,2.5347941603010997e-06,0.7140074459203413
200,tis_anchored,300,1.6742888237546618e-05,4.804090168562888e-07,0.2290144747406409
200,uniform,300,7.310842800005526e-05,2.0786682512732586e-06,1.0
400,complete_rollout,300,7.824081059458636e-06,2.1752852523181257e-07,0.22436696726143862
400,learned_mean,300,1.3398245356215128e-05,5.578130565827635e-07,0.3842142808022801
400,learned_occupancy,300,8.51249946636127e-06,2.4181506080617134e-07,0.24410837190562595
400,occ_plus_mean,300,6.60698528784229e-06,1.7902201844834382e-07,0.18946496598243157
400,occ_plus_uniform,300,1.0004363181848073e-05,2.651690102074498e-07,0.2868897458289575
400,oracle_tail,300,4.117933575043097e-06,1.2269331030713043e-07,0.1180877678279578
400,tis,300,2.0261257917325482e-05,1.166553954054285e-06,0.5810212032908916
400,tis_anchored,300,6.877416501187142e-06,1.8332729271543114e-07,0.19721997653637563
400,uniform,300,3.4871804682111693e-05,9.557008695963788e-07,1.0
800,complete_rollout,300,3.7187263922748424e-06,1.0223256000730675e-07,0.19236507886260423
800,learned_mean,300,4.470037571726422e-06,1.6615939207641565e-07,0.23122946925867985
800,learned_occupancy,300,3.7859515231691e-06,1.0247353173888923e-07,0.1958425510511704
800,occ_plus_mean,300,2.9985740111043767e-06,8.620593141577332e-08,0.15511249424526563
800,occ_plus_uniform,300,4.914601499256901e-06,1.33586578294461e-07,0.2542262068397299
800,oracle_tail,300,2.0120564101486185e-06,6.552407643342113e-08,0.10408116897717747
800,tis,300,6.558778623656968e-06,3.4376795717448806e-07,0.33927743912623076
800,tis_anchored,300,3.132413108369227e-06,9.74834995766271e-08,0.1620358238437369
800,uniform,300,1.9331608492885153e-05,6.188624678828965e-07,1.0
