budget_per_group,method,replication,panel_mean_estimate
400,complete_rollout,0,1.7675400974934334
400,complete_rollout,1,1.7675186223373063
400,complete_rollout,2,1.7665011350233693
400,complete_rollout,3,1.7667670044158552
400,complete_rollout,4,1.767373589118884
400,complete_rollout,5,1.7673838846124637
400,complete_rollout,6,1.766872832278064
400,complete_rollout,7,1.7666152998338769
400,complete_rollout,8,1.7670431046736539
400,complete_rollout,9,1.7665425856729655
400,complete_rollout,10,1.7665193551970055
400,complete_rollout,11,1.7666393262517184
400,complete_rollout,12,1.7674347193911972
400,complete_rollout,13,1.7667556466594443
400,complete_rollout,14,1.7664023630068015
400,complete_rollout,15,1.7668343836842317
400,complete_rollout,16,1.7666334204667498
400,complete_rollout,17,1.7675766653308267
400,complete_rollout,18,1.7669319330424507
400,complete_rollout,19,1.7671326851735665
400,complete_rollout,20,1.7668701722695364
400,complete_rollout,21,1.7667379132868015
400,complete_rollout,22,1.7676918296631083
400,complete_rollout,23,1.767516968076758
400,complete_rollout,24,1.767610784937843
400,complete_rollout,25,1.7673938889310745
400,complete_rollout,26,1.7668355607003239
400,complete_rollout,27,1.767026071575568
400,complete_rollout,28,1.7673575099321868
400,complete_rollout,29,1.7668843598076116
400,complete_rollout,30,1.7670381731464853
400,complete_rollout,31,1.767302634364441
400,complete_rollout,32,1.7669751511795955
400,complete_rollout,33,1.7673232167317685
400,complete_rollout,34,1.7676299116134218
400,complete_rollout,35,1.7669160032888487
400,complete_rollout,36,1.7669799686409038
400,complete_rollout,37,1.7667333143041046
400,complete_rollout,38,1.7672899807109246
400,complete_rollout,39,1.7670254645525696
400,complete_rollout,40,1.7673909986651457
400,complete_rollout,41,1.766428037511072
400,complete_rollout,42,1.7672389477199062
400,complete_rollout,43,1.7667036869156165
400,complete_rollout,44,1.766204714150229
400,complete_rollout,45,1.7665820817221762
400,complete_rollout,46,1.7666732182466622
400,complete_rollout,47,1.7666350354234595
400,complete_rollout,48,1.7658985314178697
400,complete_rollout,49,1.7670095785759166
400,complete_rollout,50,1.7674117568858763
400,complete_rollout,51,1.7668604198039752
400,complete_rollout,52,1.7673297362151152
400,complete_rollout,53,1.768017669692493
400,complete_rollout,54,1.7665538585118576
400,complete_rollout,55,1.766522522934427
400,complete_rollout,56,1.766536234186419
400,complete_rollout,57,1.766673128941486
400,complete_rollout,58,1.7669016446031522
400,complete_rollout,59,1.766992982485734
400,complete_rollout,60,1.7668059719149993
400,complete_rollout,61,1.7672116654752243
400,complete_rollout,62,1.7667958950518652
400,complete_rollout,63,1.7671319367954836
400,complete_rollout,64,1.7670243902639238
400,complete_rollout,65,1.7671191950124694
400,complete_rollout,66,1.7661566190045566
400,complete_rollout,67,1.7663052491177114
400,complete_rollout,68,1.7665545862203558
400,complete_rollout,69,1.7665682982008837
400,complete_rollout,70,1.767140959835953
400,complete_rollout,71,1.76682531108581
400,complete_rollout,72,1.766127307596595
400,complete_rollout,73,1.7674887020022512
400,complete_rollout,74,1.7666073449912045
400,complete_rollout,75,1.767129392424316
400,complete_rollout,76,1.7671472196377183
400,complete_rollout,77,1.7672352805661553
400,complete_rollout,78,1.7672373023122274
400,complete_rollout,79,1.7674489454935953
400,complete_rollout,80,1.7671707374004202
400,complete_rollout,81,1.7674743299043343
400,complete_rollout,82,1.7668007908769707
400,complete_rollout,83,1.7667064429926922
400,complete_rollout,84,1.7667087967236652
400,complete_rollout,85,1.7671644529216781
400,complete_rollout,86,1.7669465315178057
400,complete_rollout,87,1.767411520043753
400,complete_rollout,88,1.766592657526998
400,complete_rollout,89,1.7672593949271425
400,complete_rollout,90,1.7669416033243015
400,complete_rollout,91,1.7664730845417753
400,complete_rollout,92,1.7673519470969186
400,complete_rollout,93,1.7671351216547782
400,complete_rollout,94,1.7673544641423284
400,complete_rollout,95,1.7667642877886514
400,complete_rollout,96,1.767155563146865
400,complete_rollout,97,1.7666697569739083
400,complete_rollout,98,1.7665208997340003
400,complete_rollout,99,1.7668289594835545
400,complete_rollout,100,1.7667508620115482
400,complete_rollout,101,1.7670316698488693
400,complete_rollout,102,1.7668324514026243
400,complete_rollout,103,1.7671563788461295
400,complete_rollout,104,1.7668773628838728
400,complete_rollout,105,1.7666377996694491
400,complete_rollout,106,1.7676987116663097
400,complete_rollout,107,1.7662718773054644
400,complete_rollout,108,1.7660543914875149
400,complete_rollout,109,1.7663846791169755
400,complete_rollout,110,1.7669170553432745
400,complete_rollout,111,1.7660573570414926
400,complete_rollout,112,1.766229738382029
400,complete_rollout,113,1.767448198221575
400,complete_rollout,114,1.7668315218289916
400,complete_rollout,115,1.7669827146934909
400,complete_rollout,116,1.7670272356250905
400,complete_rollout,117,1.7663925479267844
400,complete_rollout,118,1.7663922964238419
400,complete_rollout,119,1.7672187043892675
